Electricty [kW],Heating demand [kW]
635.1803207,599.496984
694.6018299,640.5365477
654.9534385,573.8670206
601.6675168,590.3846308
520.8430075,654.1041386
451.2194334,739.234195
388.7931939,877.7970018
372.2268004,968.7728586
345.5514778,920.1310254
362.8496416,1010.319609
371.611103,1053.743301
389.4687203,1063.614102
456.59156,1123.274536
532.4160642,1092.439823
508.3262571,1073.373378
428.8484229,942.191749
408.9204218,871.2751494
381.2270718,731.6884051
355.4751779,633.2756749
357.7066378,664.9182256
352.4471705,634.7533418
355.2710825,581.8015779
399.7040185,529.5605585
502.3559435,475.0022555
634.2627189,595.1863784
694.1354113,638.0980403
679.4077974,681.9773491
627.8545175,706.0850268
535.1909435,717.1796246
451.2150221,738.6863895
363.2519226,757.3322819
339.3946162,818.9490337
316.0991349,786.7300924
307.049272,761.5300656
306.132309,760.9910148
321.6310378,759.0781412
382.8902061,786.1205886
457.2472578,738.0721176
437.2480526,725.645344
384.3435822,699.2083285
372.3755762,657.4077878
354.7964917,560.898133
331.7350784,479.1228798
319.1035683,449.1843672
315.0680472,429.0711597
328.7878033,426.5973534
389.1411821,446.1338505
532.2009702,571.3915521
642.7675858,597.8356675
708.5730209,667.1446223
693.9138754,710.6459359
651.2432522,773.3053073
566.2216051,825.8025402
485.8338565,876.356819
396.9873385,907.0682895
368.387328,947.5826116
351.3782577,943.2447556
350.3099582,953.3784394
347.7949997,945.6124806
357.8807683,919.637527
412.5232464,917.3435153
497.8935291,918.2123688
470.6258442,873.4959988
395.716442,749.469931
386.4918311,719.9254436
364.1530894,602.3540072
343.3985604,530.8773415
323.9027288,470.4816371
304.8851598,383.866659
305.3724492,322.6206198
367.3357412,349.386375
497.5709016,417.799089
609.4938772,450.4071074
667.3896237,484.7586788
659.479292,558.3869276
618.9612646,630.7157093
528.9497217,661.1646166
451.3540636,724.2058374
361.1378535,755.7000796
335.8871097,808.4136198
332.0227245,861.0526624
324.2278143,839.9550349
320.3674434,827.5643874
336.07509,828.0502855
390.8176691,832.9050026
457.654289,762.3678939
425.9434205,709.6935009
351.1359938,599.0170775
326.8700492,508.6866947
303.2845549,387.0011185
284.6745314,320.0400737
270.5790234,279.1471826
260.7149881,228.4410896
274.3941335,223.651809
336.4762363,249.7750464
465.8599858,313.9262165
573.2429059,325.3337478
636.4123843,383.1579479
624.6375755,440.3606072
583.4407125,510.603045
503.0327834,576.2179261
424.6256018,622.496625
338.9008583,657.8786793
309.8426729,693.7432913
303.2987982,734.5555909
307.4649988,766.6233278
308.3599679,775.280178
325.3652957,781.4531514
394.0346319,848.2095731
470.2687015,819.1822155
446.0037021,799.3603395
390.0691138,772.3119736
385.4136223,768.9875339
373.8983875,700.8620689
364.1366151,673.2106812
350.5677763,634.6677987
337.6087932,570.2853072
359.9352123,603.9709769
417.2381316,608.7658655
546.3034448,671.3067575
647.6245522,655.6401963
699.8613788,664.783491
679.4956339,683.689218
629.8242777,716.1729933
542.9638468,753.0590817
461.9728708,787.8202527
379.1976216,836.2793111
344.5659651,847.3229472
339.7570065,895.8256405
341.2656503,916.0710227
341.5914478,922.2079987
354.2622157,909.111444
424.764138,983.9816754
493.8346264,923.1579181
474.9838063,927.3771195
430.5401313,951.3746374
429.7090605,964.9245702
412.9057896,873.3549775
388.5797762,781.1126883
380.6911259,767.8399961
373.4140765,728.7011821
394.9255174,758.7102973
450.4082445,755.3804447
598.5425671,902.4017942
678.6535571,792.6016611
731.4692521,804.3576317
711.8799126,826.7001322
665.2957749,872.8580174
572.4800962,883.2227841
490.8248366,914.9917181
401.0421739,932.3154704
363.6773969,931.2065962
351.1488915,945.4397716
351.99801,962.8447072
357.6841884,992.8191468
373.0339629,991.612164
423.9401713,979.3856189
514.8720234,1015.793015
496.1946571,1020.716131
439.4450147,989.9792776
436.5104034,994.3369907
416.8935579,890.4790459
412.820331,888.1564081
395.1257528,831.4074745
382.1619028,767.1608022
394.1621125,754.9566766
447.5004269,742.1922662
572.7147185,787.6246463
675.5840265,778.824144
731.6532698,804.8728268
