ESS_power,ESS_capacity,ELH_power,fitness_function,Time,std_ESS_power,std_ESS_capacity,std_fitness_function,std_ELH_power,profit_kWh,profit_peak_kW,profit_saved_gas_heating_total,Saved_cost_heating,heating_cost_electricity,cost_charge,cost_O_n_M_fixed,cost_O_n_m_variable,OPEX_ELH,Cashflow_total,Cost_investment,Summed_charge_kWh,Summed_Discharge_kWh
103.4065684,5.41190976,165.288333,287582.4132,187.1020668,365.7755676,180.0240112,202600.9773,372.9787683,165.454016,92.32752209,435713.6338,740014.2382,-304300.6044,-166.8028055,-4267.059915,-2.216833409,-2457.2561,429078.0797,[-72236.70855737],465.2656768,418.7391092
696.5858216,564.1062322,1256.217801,600337.0708,201.6069303,365.7755676,180.0240112,202600.9773,372.9787683,7345.731748,8215.523928,994697.057,1685214.039,-690516.982,-7439.481223,-12385.39017,-94.66517022,-7994.201534,982344.5745,[-739261.45147644],13523.5371,12174.66112
0.1,0.1,409.2872815,606960.4556,196.0794334,365.7755676,180.0240112,202600.9773,372.9787683,14.03355093,7.831076056,856105.3388,1452130.674,-596025.3351,-14.14821987,-4.19,-0.188028343,-6139.309222,849969.3679,[-135609.74762138],39.4631072,35.51679648
677.5782749,302.8438696,781.8611911,617128.8844,195.8372023,365.7755676,180.0240112,202600.9773,372.9787683,6016.826719,4477.846757,1002653.653,1698590.786,-695937.1327,-6108.715573,-19647.26899,-77.55887154,-8119.866586,979194.9167,[-477642.90781807],21619.76629,19457.8051
1079.74842,23.26177581,727.2576166,622369.3555,194.5685685,365.7755676,180.0240112,202600.9773,372.9787683,2245.315653,1252.942875,921155.7325,1561569.085,-640413.3527,-2263.619579,-28762.35678,-30.08383158,-6935.520763,886662.4101,[-410587.77069545],6313.94953,5682.554577
233.9873486,155.4677623,201.7763036,290310.7841,142.1162853,365.7755676,180.0240112,202600.9773,372.9787683,21208.13984,42300.15179,516346.3287,877043.6676,-360697.3388,-21390.97562,-9803.41028,-284.8028414,-3023.992161,545351.4395,[-162153.68231709],62654.46956,56389.02261
0.1,0.1,166.5648995,309650.0448,145.6160302,365.7755676,180.0240112,202600.9773,372.9787683,14.03355093,7.831076056,439481.34,746422.4176,-306941.0776,-14.14821987,-4.19,-0.188028343,-2482.733756,437001.9446,[-55220.09471927],39.4631072,35.51679648
0.1,0.1,0.1,167.1165167,178.0100572,365.7755676,180.0240112,202600.9773,372.9787683,14.03355093,7.831076056,313.9560798,531.9768303,-218.0207505,-14.14821987,-4.19,-0.188028343,-1.5,315.7944585,[-86.92],39.4631072,35.51679648
76.05004818,0.1,280.7809809,454807.005,185.936399,365.7755676,180.0240112,202600.9773,372.9787683,14.03355093,7.831076056,661045.7236,1122299.985,-461254.2615,-14.14795314,-3117.901895,-0.188028343,-4180.54266,653754.8077,[-104349.82803818],39.4631072,35.51679648
39.32913324,0.1,111.8450469,212360.7441,205.4679942,365.7755676,180.0240112,202600.9773,372.9787683,773.6904614,431.7388292,314864.3625,534412.4261,-219548.0636,-779.9976249,-1695.671003,-10.36628124,-1685.06617,311898.6907,[-42934.17454593],2175.659587,1958.093628
