charge,discharge,capacity,Energy_use,Average_daily_cost,Energy_hourly_cost,Charge_or_discharge,,,,,
0,0,9.518143386,635.1803207,0.030305,0.026433,Charge+++++,,,,,
0,0,9.518143386,694.6018299,0.030305,0.026433,Charge+++++,,,,,0.067694096
0,0,9.518143386,654.9534385,0.030305,0.026422,Charge+++++,,,,,
0,0,9.518143386,601.6675168,0.030305,0.025509,Charge+++++,,,,,
0,0,9.518143386,520.8430075,0.030305,0.02651,Charge+++++,,,,,
0,0,9.518143386,451.2194334,0.030305,0.027511,Charge+++++,,,,,
0,0,9.518143386,388.7931939,0.030305,0.028182,Charge+++++,,,,,
0,0,9.518143386,372.2268004,0.030305,0.028457,Charge+++++,,,,,
0,0,9.518143386,345.5514778,0.030305,0.028798,Charge+++++,,,,,
0,0,9.518143386,362.8496416,0.030305,0.028314,Charge+++++,,,,,
0,0,9.518143386,371.611103,0.030305,0.029579,Charge+++++,,,,,
0,0,9.518143386,389.4687203,0.030305,0.030228,Charge+++++,,,,,
0,6.853063238,1.903628677,456.59156,0.030305,0.030844,Discharge-----,,,,,
0,0,1.903628677,532.4160642,0.030305,0.03157,Discharge-----,,,,,
0,0,1.903628677,508.3262571,0.030305,0.032626,Discharge-----,,,,,
0,0,1.903628677,428.8484229,0.030305,0.033418,Discharge-----,,,,,
0,0,1.903628677,408.9204218,0.030305,0.03388,Discharge-----,,,,,
0,0,1.903628677,381.2270718,0.030305,0.034023,Discharge-----,,,,,
0,0,1.903628677,355.4751779,0.030305,0.033858,Discharge-----,,,,,
0,0,1.903628677,357.7066378,0.030305,0.033561,Discharge-----,,,,,
0,0,1.903628677,352.4471705,0.030305,0.033209,Discharge-----,,,,,
0,0,1.903628677,355.2710825,0.030305,0.032934,Discharge-----,,,,,
0,0,1.903628677,399.7040185,0.030305,0.032615,Discharge-----,,,,,
0,0,1.903628677,502.3559435,0.030305,0.032296,Discharge-----,,,,,
7.614514708,0,9.518143386,634.2627189,0.036795,0.03234,Charge+++++,,,,,
0,0,9.518143386,694.1354113,0.036795,0.031801,Charge+++++,,,,,
0,0,9.518143386,679.4077974,0.036795,0.030921,Charge+++++,,,,,
0,0,9.518143386,627.8545175,0.036795,0.030679,Charge+++++,,,,,
0,0,9.518143386,535.1909435,0.036795,0.031086,Charge+++++,,,,,
0,0,9.518143386,451.2150221,0.036795,0.033473,Charge+++++,,,,,
0,0,9.518143386,363.2519226,0.036795,0.036135,Charge+++++,,,,,
0,6.853063238,1.903628677,339.3946162,0.036795,0.037301,Discharge-----,,,,,
0,0,1.903628677,316.0991349,0.036795,0.038357,Discharge-----,,,,,
0,0,1.903628677,307.049272,0.036795,0.038742,Discharge-----,,,,,
0,0,1.903628677,306.132309,0.036795,0.038951,Discharge-----,,,,,
0,0,1.903628677,321.6310378,0.036795,0.038577,Discharge-----,,,,,
0,0,1.903628677,382.8902061,0.036795,0.038335,Discharge-----,,,,,
0,0,1.903628677,457.2472578,0.036795,0.03817,Discharge-----,,,,,
0,0,1.903628677,437.2480526,0.036795,0.03828,Discharge-----,,,,,
0,0,1.903628677,384.3435822,0.036795,0.039523,Discharge-----,,,,,
0,0,1.903628677,372.3755762,0.036795,0.041272,Discharge-----,,,,,
0,0,1.903628677,354.7964917,0.036795,0.042328,Discharge-----,,,,,
0,0,1.903628677,331.7350784,0.036795,0.040568,Discharge-----,,,,,
0,0,1.903628677,319.1035683,0.036795,0.039072,Discharge-----,,,,,
0,0,1.903628677,315.0680472,0.036795,0.038753,Discharge-----,,,,,
0,0,1.903628677,328.7878033,0.036795,0.038214,Discharge-----,,,,,
7.614514708,0,9.518143386,389.1411821,0.036795,0.036289,Charge+++++,,,,,
0,0,9.518143386,532.2009702,0.036795,0.034034,Charge+++++,,,,,
0,0,9.518143386,642.7675858,0.036245,0.033715,Charge+++++,,,,,
0,0,9.518143386,708.5730209,0.036245,0.033407,Charge+++++,,,,,
0,0,9.518143386,693.9138754,0.036245,0.033165,Charge+++++,,,,,
0,0,9.518143386,651.2432522,0.036245,0.033154,Charge+++++,,,,,
0,0,9.518143386,566.2216051,0.036245,0.03344,Charge+++++,,,,,
0,0,9.518143386,485.8338565,0.036245,0.035464,Charge+++++,,,,,
0,6.853063238,1.903628677,396.9873385,0.036245,0.03685,Discharge-----,,,,,
0,0,1.903628677,368.387328,0.036245,0.03938,Discharge-----,,,,,
0,0,1.903628677,351.3782577,0.036245,0.040458,Discharge-----,,,,,
0,0,1.903628677,350.3099582,0.036245,0.039787,Discharge-----,,,,,
0,0,1.903628677,347.7949997,0.036245,0.03894,Discharge-----,,,,,
0,0,1.903628677,357.8807683,0.036245,0.038412,Discharge-----,,,,,
0,0,1.903628677,412.5232464,0.036245,0.038291,Discharge-----,,,,,
0,0,1.903628677,497.8935291,0.036245,0.037499,Discharge-----,,,,,
0,0,1.903628677,470.6258442,0.036245,0.037675,Discharge-----,,,,,
0,0,1.903628677,395.716442,0.036245,0.037961,Discharge-----,,,,,
0,0,1.903628677,386.4918311,0.036245,0.038434,Discharge-----,,,,,
0,0,1.903628677,364.1530894,0.036245,0.038049,Discharge-----,,,,,
0,0,1.903628677,343.3985604,0.036245,0.037466,Discharge-----,,,,,
7.614514708,0,9.518143386,323.9027288,0.036245,0.036223,Charge+++++,,,,,
0,0,9.518143386,304.8851598,0.036245,0.03498,Charge+++++,,,,,
0,0,9.518143386,305.3724492,0.036245,0.033561,Charge+++++,,,,,
0,0,9.518143386,367.3357412,0.036245,0.032197,Charge+++++,,,,,
0,0,9.518143386,497.5709016,0.036245,0.031306,Charge+++++,,,,,
0,0,9.518143386,609.4938772,0.034771,0.028523,Charge+++++,,,,,
0,0,9.518143386,667.3896237,0.034771,0.027951,Charge+++++,,,,,
0,0,9.518143386,659.479292,0.034771,0.027885,Charge+++++,,,,,
0,0,9.518143386,618.9612646,0.034771,0.027995,Charge+++++,,,,,
0,0,9.518143386,528.9497217,0.034771,0.028567,Charge+++++,,,,,
0,0,9.518143386,451.3540636,0.034771,0.030657,Charge+++++,,,,,
0,0,9.518143386,361.1378535,0.034771,0.031812,Charge+++++,,,,,
0,0,9.518143386,335.8871097,0.034771,0.033715,Charge+++++,,,,,
0,6.853063238,1.903628677,332.0227245,0.034771,0.035343,Discharge-----,,,,,
0,0,1.903628677,324.2278143,0.034771,0.036597,Discharge-----,,,,,
0,0,1.903628677,320.3674434,0.034771,0.036872,Discharge-----,,,,,
0,0,1.903628677,336.07509,0.034771,0.037323,Discharge-----,,,,,
0,0,1.903628677,390.8176691,0.034771,0.037323,Discharge-----,,,,,
0,0,1.903628677,457.654289,0.034771,0.037334,Discharge-----,,,,,
0,0,1.903628677,425.9434205,0.034771,0.037565,Discharge-----,,,,,
0,0,1.903628677,351.1359938,0.034771,0.03883,Discharge-----,,,,,
0,0,1.903628677,326.8700492,0.034771,0.039908,Discharge-----,,,,,
0,0,1.903628677,303.2845549,0.034771,0.040491,Discharge-----,,,,,
0,0,1.903628677,284.6745314,0.034771,0.039105,Discharge-----,,,,,
0,0,1.903628677,270.5790234,0.034771,0.03795,Discharge-----,,,,,
0,0,1.903628677,260.7149881,0.034771,0.037279,Discharge-----,,,,,
0,0,1.903628677,274.3941335,0.034771,0.036322,Discharge-----,,,,,
0,0,1.903628677,336.4762363,0.034771,0.035563,Discharge-----,,,,,
7.614514708,0,9.518143386,465.8599858,0.034771,0.033484,Charge+++++,,,,,
0,0,9.518143386,573.2429059,0.048059,0.033561,Charge+++++,,,,,
0,0,9.518143386,636.4123843,0.048059,0.033253,Charge+++++,,,,,
0,0,9.518143386,624.6375755,0.048059,0.033,Charge+++++,,,,,
0,0,9.518143386,583.4407125,0.048059,0.033066,Charge+++++,,,,,
0,0,9.518143386,503.0327834,0.048059,0.033671,Charge+++++,,,,,
0,0,9.518143386,424.6256018,0.048059,0.035695,Charge+++++,,,,,
0,0,9.518143386,338.9008583,0.048059,0.038357,Charge+++++,,,,,
0,0,9.518143386,309.8426729,0.048059,0.046277,Charge+++++,,,,,
0,0,9.518143386,303.2987982,0.048059,0.047718,Charge+++++,,,,,
0,0,9.518143386,307.4649988,0.048059,0.046244,Charge+++++,,,,,
0,0,9.518143386,308.3599679,0.048059,0.047344,Charge+++++,,,,,
0,6.853063238,1.903628677,325.3652957,0.048059,0.048994,Discharge-----,,,,,
0,0,1.903628677,394.0346319,0.048059,0.049016,Discharge-----,,,,,
0,0,1.903628677,470.2687015,0.048059,0.049126,Discharge-----,,,,,
0,0,1.903628677,446.0037021,0.048059,0.049489,Discharge-----,,,,,
0,0,1.903628677,390.0691138,0.048059,0.06171,Discharge-----,,,,,
0,0,1.903628677,385.4136223,0.048059,0.07667,Discharge-----,,,,,
