homeid,notification_date,provenancedetail,energytype,daily_standing_charge_pence,unit_charge_pence_per_kwh
59,30/05/2017,in_app,electricity,0,16.5
59,30/05/2017,in_app,gas,14,3.87
61,06/10/2016,primary_facetoface_initial,electricity,0.33,0.12
61,06/10/2016,primary_facetoface_initial,gas,0.3,0.33
62,26/08/2016,primary_facetoface_initial,electricity,31.31,
62,26/08/2016,primary_facetoface_initial,gas,24.74,
62,20/10/2017,in_app,electricity,36,16.16
62,20/10/2017,in_app,gas,26,4.05
62,31/10/2017,in_app,gas,26,3.89
64,20/10/2016,primary_facetoface_initial,electricity,26.02,13.42
64,20/10/2016,in_app,electricity,26,13.41
64,20/10/2016,primary_facetoface_initial,gas,22,3.98
64,20/10/2016,in_app,gas,21,3.98
64,27/03/2017,in_app,electricity,21,13.18
64,27/03/2017,in_app,gas,19,3.27
65,09/11/2016,primary_facetoface_initial,electricity,15.97,
65,09/11/2016,primary_facetoface_initial,gas,3.45,
65,08/05/2017,in_app,electricity,27,15
65,08/05/2017,in_app,gas,29,4.03
65,08/05/2017,in_app,gas,27,3.84
66,08/11/2017,in_app,electricity,20,14.03
66,08/11/2017,in_app,gas,28,2.54
68,24/11/2016,primary_facetoface_initial,electricity,11.24,
68,24/11/2016,primary_facetoface_initial,gas,6.77,
69,04/01/2017,primary_facetoface_initial,electricity,,12.01
69,04/01/2017,in_app,electricity,0,12.01
69,04/01/2017,primary_facetoface_initial,gas,3.02,
70,07/12/2016,primary_facetoface_initial,electricity,16.42,12.98
70,07/12/2016,in_app,electricity,16,12.97
70,07/12/2016,primary_facetoface_initial,gas,21.9,3.76
70,07/12/2016,in_app,gas,21,3.75
71,11/01/2017,primary_facetoface_initial,electricity,23.02,9.34
71,11/01/2017,in_app,electricity,23,9.34
71,11/01/2017,primary_facetoface_initial,gas,23.02,2.26
71,11/01/2017,in_app,gas,23,2.25
72,04/01/2017,primary_facetoface_initial,electricity,,17.1
72,04/01/2017,in_app,electricity,0,17.1
72,04/01/2017,primary_facetoface_initial,gas,,5.2
72,04/01/2017,in_app,gas,0,5.19
72,17/07/2017,in_app,electricity,0,19.95
72,17/07/2017,in_app,electricity,0,20.23
72,17/07/2017,in_app,gas,0,5.2
72,21/07/2017,in_app,electricity,0,16.34
72,21/07/2017,in_app,gas,0,4.97
74,05/01/2017,primary_facetoface_initial,electricity,12.75,
74,05/01/2017,primary_facetoface_initial,gas,8,
74,30/01/2018,in_app,electricity,0,0.13
74,30/01/2018,in_app,electricity,25,12.53
74,30/01/2018,in_app,gas,0,2.84
74,30/01/2018,in_app,gas,22,2.84
75,10/01/2017,primary_facetoface_initial,electricity,27.31,13.05
75,10/01/2017,in_app,electricity,27,13.05
75,10/01/2017,primary_facetoface_initial,gas,27.31,3.69
75,10/01/2017,in_app,gas,27,3.68
76,18/01/2017,primary_facetoface_initial,electricity,19.27,13.81
76,18/01/2017,in_app,electricity,19,13.8
76,18/01/2017,primary_facetoface_initial,gas,21.75,3.19
76,18/01/2017,in_app,gas,21,3.18
77,17/01/2017,primary_facetoface_initial,electricity,,16.5
77,17/01/2017,in_app,electricity,0,16.49
77,17/01/2017,primary_facetoface_initial,gas,14.38,3.87
77,17/01/2017,in_app,gas,14,3.86
78,19/01/2017,primary_facetoface_initial,electricity,16.44,13.46
78,19/01/2017,in_app,electricity,16,13.46
78,19/01/2017,primary_facetoface_initial,gas,16.44,3.94
78,19/01/2017,in_app,gas,16,3.93
78,21/05/2018,in_app,electricity,16,16.44
78,21/05/2018,in_app,gas,16,3.94
79,17/01/2017,primary_facetoface_initial,electricity,11.5,
79,17/01/2017,primary_facetoface_initial,gas,2.58,
79,04/12/2017,in_app,electricity,21,13.18
79,04/12/2017,in_app,gas,19,3.27
80,24/01/2017,primary_facetoface_initial,electricity,16.42,13
80,24/01/2017,in_app,electricity,16,13
80,24/01/2017,primary_facetoface_initial,gas,21.9,3.79
80,24/01/2017,in_app,gas,22,3.79
81,26/01/2017,primary_facetoface_initial,electricity,0.13,10.36
81,26/01/2017,in_app,electricity,0,10.36
81,26/01/2017,primary_facetoface_initial,gas,0.08,2.92
81,26/01/2017,in_app,gas,0,2.92
82,30/01/2017,primary_facetoface_initial,electricity,15.5,10.22
82,30/01/2017,in_app,electricity,15,10.22
82,30/01/2017,primary_facetoface_initial,gas,15.34,2.32
82,30/01/2017,in_app,gas,15,2.32
82,17/06/2017,in_app,electricity,19,12.4
82,17/06/2017,in_app,gas,20,2.9
82,17/06/2017,in_app,gas,19,2.76
83,31/01/2017,primary_facetoface_initial,gas,3.28,
83,20/04/2018,in_app,electricity,24,14.05
83,20/04/2018,in_app,gas,25,3.21
84,31/01/2017,in_app,electricity,0,15.27
84,31/01/2017,primary_facetoface_initial,gas,,4.45
84,31/01/2017,in_app,gas,0,4.45
85,02/02/2017,primary_facetoface_initial,electricity,16.28,
85,02/02/2017,primary_facetoface_initial,gas,4.21,
85,02/09/2017,in_app,electricity,28,15.5
85,02/09/2017,in_app,gas,30,4.01
86,02/02/2017,primary_facetoface_initial,electricity,27.95,13.04
86,02/02/2017,in_app,electricity,28,13.04
86,02/02/2017,primary_facetoface_initial,gas,22.62,2.96
86,02/02/2017,in_app,gas,23,2.96
88,14/12/2017,in_app,electricity,16,17.22
88,14/12/2017,in_app,gas,206,3.94
89,09/02/2017,primary_facetoface_initial,electricity,25.43,10.25
89,09/02/2017,in_app,electricity,25,10.25
89,09/02/2017,primary_facetoface_initial,gas,23.74,2.97
89,09/02/2017,in_app,gas,24,2.97
92,14/02/2017,primary_facetoface_initial,electricity,30.21,15.62
92,14/02/2017,in_app,electricity,30,15.62
92,14/02/2017,primary_facetoface_initial,gas,30.21,3.59
92,14/02/2017,in_app,gas,30,3.59
93,14/02/2017,primary_facetoface_initial,electricity,32.7,14.72
93,14/02/2017,in_app,electricity,33,14.72
93,14/02/2017,primary_facetoface_initial,gas,25.06,3.94
93,14/02/2017,in_app,gas,25,3.94
94,28/08/2017,in_app,electricity,28,15.5
94,28/08/2017,in_app,gas,30,4.01
96,28/02/2017,primary_facetoface_initial,electricity,19.84,12.19
96,28/02/2017,in_app,electricity,20,12.19
96,28/02/2017,primary_facetoface_initial,gas,27.56,2.39
96,28/02/2017,in_app,gas,28,2.39
